        shape    T=128    T=256    T=512   T=1024   best
   8x1024         11.9      8.4      8.4      8.7   T=512
  16x1024         11.0      8.2      8.0     13.9   T=512
  16x2048          7.9      5.6      4.7      5.2   T=512
  16x4096         12.3      8.1      5.9      6.0   T=512
  16x8192         25.9     15.7     10.3      8.7   T=1024
  16x16384        46.3     26.0     16.6     12.3   T=1024
  16x32768        75.1     40.4     24.0     16.7   T=1024
  16x50688       113.9     60.2     35.0     23.2   T=1024
   8x50688       111.3     59.1     34.0     23.0   T=1024
